"","Data","sp500","uk100","dax","nikkei","wig20","logReturnSP500","logReturnUK100","logReturnDax","logReturnNikkei","logReturnWig20"
"42","2010-03-02",1118.31,8204.75763016158,7860.33473942033,115.175661971831,815.925205060475,0.00232764359664106,0.0122506027401101,0.0138282606102358,0.0096030934131619,0.0324352221632944
"43","2010-03-03",1118.79,8353.27596618358,7967.51574910983,115.854689265537,829.12710135753,0.000429127001355667,0.0179396083802885,0.0135435507295529,0.0058782687671064,0.0160507719724787
"44","2010-03-04",1122.97,8305.27422990233,7869.7990222705,113.868911335578,823.983810753288,0.0037292170832659,-0.00576303082453755,-0.0123402190687312,-0.017288840916649,-0.00622257969800799
"45","2010-03-05",1138.7,8478.06207418622,8007.30245231608,114.866068461283,839.140970710121,0.0139102995934497,0.0205911323237054,0.0173214069571888,0.00871894140168461,0.0182278320811458
"46","2010-03-08",1138.5,8440.04214963119,8007.50885799945,117.256535223748,849.290654997177,-0.000175654312765339,-0.00449459207208136,2.57768486164878e-05,0.0205973157009334,0.0120227628894733
"47","2010-03-09",1140.45,8401.76964607079,8005.8351468988,117.562020246969,841.966797974114,0.00171131483876152,-0.00454494681523698,-0.000209039549293522,0.00260188292996677,-0.00866089641294554
"48","2010-03-10",1145.61,8451.55828588553,8106.95070326369,116.715501049608,848.045281957531,0.00451432487600645,0.00590848108572217,0.0125511360611057,-0.00722666755884394,0.0071934517710055
"49","2010-03-11",1150.24,8462.27779451642,8108.08260393873,117.701688555347,841.669293544885,0.00403337001699899,0.00126754333140866,0.000139611267574224,0.00841400176774432,-0.00754685882116846
"50","2010-03-12",1149.99,8552.21951961082,8184.34746696035,118.732854776367,854.945677177337,-0.000217369568246362,0.0105724619677687,0.00936206811746487,0.00872269123228264,0.0156507573732867
"51","2010-03-15",1150.51,8415.6010230179,8071.58873393492,118.924676473841,840.279533642366,0.000452075643430305,-0.016103594286383,-0.0138731525676832,0.00161427023263983,-0.017303316828527
"52","2010-03-16",1159.46,8561.20335110434,8217.71263418662,118.708038086802,866.343087933111,0.00774905716149643,0.0171535107626664,0.0179415699545533,-0.00182330490527161,0.0305463909233907
"53","2010-03-17",1166.21,8646.79840686274,8275.10989010989,120.015268864793,879.858707674742,0.00580479513756504,0.00994836738239258,0.0069602989493962,0.0109519582399908,0.0154803295726245
"54","2010-03-18",1165.83,8605.49031569315,8181.12668390257,118.757930805792,860.299032541777,-0.000325894927499348,-0.0047887176910848,-0.0114223233982642,-0.0105317488099299,-0.0224812940531463
"55","2010-03-19",1159.9,8481.11678174722,8093.11417748918,119.557322730285,850.303009194762,-0.00509948519447612,-0.0145582712713637,-0.010816278955657,0.00670871805986994,-0.0116872737019715
"57","2010-03-23",1174.17,8529.20926037282,8117.18602455146,119.196260648302,853.246256991003,0.0122277205056971,0.00565451910177295,0.00296994681853313,-0.00302456073850177,0.00345543364456624
"58","2010-03-24",1167.72,8451.74158975886,8047.7078891258,117.414287265226,839.739010989011,-0.00550838537163045,-0.00912413076598106,-0.00859622879526434,-0.0150627864307644,-0.0159570586539486
"59","2010-03-25",1165.73,8482.89395734597,8139.28334439283,116.803473195987,855.815469044761,-0.00170562941776087,0.00367913471068348,0.0113148182933251,-0.00521579108924275,0.0189636370004029
"60","2010-03-26",1166.59,8499.28464977645,8206.02038079914,118.855262162367,856.228771400144,0.000737463160265683,0.00193034096499289,0.00816594275370619,0.0174136622685142,0.000482817387131185
"61","2010-03-29",1173.22,8552.73326344167,8295.4055510644,118.721309703912,860.608054295509,0.00566714198533713,0.00626891069173752,0.010833735810813,-0.00112765725675068,0.0051015825473959
"62","2010-03-30",1173.27,8547.79987944545,8241.58057158191,119.60702737659,869.467476149176,4.26168447411612e-05,-0.000576986002934987,-0.00650967100731492,0.00743278588894114,0.0102417485697925
"63","2010-03-31",1169.43,8619.88162088329,8311.11561318206,118.672445157838,875.894988066826,-0.00327827160034211,0.00839742571142921,0.00840170687067854,-0.00784446097105906,0.0073652792536647
"64","2010-04-01",1178.1,8785.5788346842,8469.92665036675,119.786939384255,901.465654246866,0.00738652065793488,0.0190402569427786,0.0189279993562845,0.00934752342472667,0.0287757363525287
"67","2010-04-06",1189.44,8822.26800976801,8373.1217356368,120.344746666667,898.841267625297,0.00957963685681396,0.00416737247958743,-0.0114950665063347,0.00464585323904654,-0.00291549007410108
"68","2010-04-07",1182.45,8778.27544180378,8299.86661331199,121.08974908857,894.409721009812,-0.0058940509348604,-0.00499901150213766,-0.0087873381989283,0.00617148584473171,-0.00494248230143679
"69","2010-04-08",1186.44,8728.3422459893,8243.39521837852,119.586679516008,875.545836370579,0.00336866952301484,-0.00570450924479005,-0.00682714386698891,-0.0124905386275485,-0.0213164662294449
"70","2010-04-09",1194.37,8870.24285275131,8436.42008639309,120.256949661908,888.850986807755,0.00666162299883233,0.0161267148812723,0.0231457581253132,0.00558924073248601,0.0150820977132593
"71","2010-04-12",1196.48,8875.03840245776,8491.63157179731,120.728540772532,906.956949915588,0.00176506309287472,0.000540487327782557,0.00652309932571526,0.00391385980767023,0.020165382152646
