Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-01-04,0.6981,0.7014,0.6918,0.6939
2010-01-05,0.694,0.697,0.6905,0.6963
2010-01-06,0.6962,0.7001,0.6928,0.6945
2010-01-07,0.6944,0.6993,0.6922,0.6991
2010-01-08,0.6992,0.7011,0.6926,0.6945
2010-01-11,0.6938,0.6939,0.6871,0.6891
2010-01-12,0.6891,0.6919,0.6875,0.6901
2010-01-13,0.69,0.6918,0.6859,0.6897
2010-01-14,0.6898,0.6922,0.687,0.6898
2010-01-15,0.6899,0.6975,0.6892,0.6952
2010-01-18,0.697,0.6976,0.6944,0.6952
2010-01-19,0.6951,0.7017,0.6938,0.6999
2010-01-20,0.7,0.7101,0.6998,0.7089
2010-01-21,0.709,0.7128,0.7072,0.71
2010-01-22,0.71,0.7109,0.7052,0.7075
2010-01-25,0.7067,0.7079,0.7045,0.7069
2010-01-26,0.7068,0.7121,0.7053,0.7104
2010-01-27,0.7103,0.7147,0.7094,0.7126
2010-01-28,0.7128,0.7176,0.7117,0.7163
2010-01-29,0.7164,0.7214,0.715,0.7214
2010-02-01,0.7214,0.7219,0.7175,0.7178
2010-02-02,0.7179,0.7201,0.7157,0.716
2010-02-03,0.7161,0.7201,0.7131,0.7199
2010-02-04,0.72,0.7291,0.7194,0.7285
2010-02-05,0.7284,0.7361,0.7275,0.7312
2010-02-08,0.7323,0.7341,0.7292,0.7323
2010-02-09,0.7323,0.7327,0.7226,0.725
2010-02-10,0.7251,0.7312,0.7241,0.7281
2010-02-11,0.7281,0.7355,0.7246,0.7305
2010-02-12,0.7306,0.739,0.7302,0.7337
2010-02-15,0.7346,0.7364,0.7335,0.7354
2010-02-16,0.7353,0.7359,0.7258,0.7268
2010-02-17,0.7267,0.736,0.7253,0.7353
2010-02-18,0.7354,0.7417,0.7324,0.7413
2010-02-19,0.741,0.7438,0.7344,0.7347
2010-02-22,0.7347,0.7366,0.7324,0.7353
2010-02-23,0.7353,0.741,0.7304,0.74
2010-02-24,0.7401,0.7406,0.7339,0.7387
2010-02-25,0.7386,0.7434,0.7369,0.7386
2010-02-26,0.7387,0.7391,0.7308,0.7336
2010-03-01,0.7342,0.7429,0.7324,0.737
2010-03-02,0.737,0.7443,0.7342,0.7349
2010-03-03,0.7348,0.7357,0.7281,0.7302
