Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-03-01,0.66,0.6764,0.6578,0.667
2010-03-02,0.6669,0.6732,0.6668,0.6684
2010-03-03,0.6685,0.6685,0.661,0.6624
2010-03-04,0.6624,0.6664,0.6609,0.6655
2010-03-05,0.6655,0.667,0.6594,0.6605
2010-03-08,0.6601,0.6653,0.6581,0.6643
2010-03-09,0.6643,0.6695,0.6643,0.6668
2010-03-10,0.6667,0.6724,0.666,0.6674
2010-03-11,0.6675,0.6691,0.6637,0.6638
2010-03-12,0.6637,0.6656,0.6572,0.6578
2010-03-15,0.6589,0.6658,0.6576,0.6647
2010-03-16,0.6647,0.6676,0.6554,0.6565
2010-03-17,0.6565,0.6575,0.6502,0.6528
2010-03-18,0.6528,0.6572,0.6525,0.6557
2010-03-19,0.6556,0.6672,0.6555,0.6662
2010-03-22,0.6673,0.6697,0.6619,0.6623
2010-03-23,0.6624,0.6679,0.6617,0.6652
2010-03-24,0.6652,0.6732,0.6651,0.6718
2010-03-25,0.6718,0.6757,0.6667,0.6752
2010-03-26,0.6752,0.6754,0.6701,0.671
2010-03-29,0.6683,0.6715,0.6659,0.6677
2010-03-30,0.6677,0.6679,0.6612,0.6636
2010-03-31,0.6636,0.6648,0.6578,0.6589
2010-04-01,0.6589,0.6592,0.6537,0.6539
2010-04-02,0.6539,0.6587,0.6538,0.6576
2010-04-05,0.655,0.6569,0.6528,0.6542
2010-04-06,0.6541,0.661,0.6533,0.6552
2010-04-07,0.6552,0.6606,0.6543,0.6564
2010-04-08,0.6564,0.6605,0.6544,0.6545
2010-04-09,0.6544,0.6551,0.6498,0.6506
2010-04-12,0.6475,0.6514,0.6458,0.651
2010-04-13,0.6511,0.6521,0.6474,0.6503
2010-04-14,0.6503,0.6506,0.6456,0.6466
2010-04-15,0.6465,0.6499,0.6442,0.6464
2010-04-16,0.6463,0.651,0.646,0.651
2010-04-19,0.6541,0.6583,0.6519,0.6521
2010-04-20,0.6522,0.6541,0.6481,0.6502
