Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-01-04,92.914,93.2,92.18,92.4
2010-01-05,92.41,92.53,91.25,91.72
2010-01-06,91.71,92.73,91.52,92.34
2010-01-07,92.34,93.75,92.1,93.59
2010-01-08,93.58,93.66,92.28,92.65
2010-01-11,92.57,92.65,91.81,92.05
2010-01-12,92.05,92.41,90.71,91.12
2010-01-13,91.12,91.55,90.91,91.37
2010-01-14,91.38,92.03,90.84,91.25
2010-01-15,91.24,91.31,90.59,90.76
2010-01-18,90.89,91.05,90.61,90.65
2010-01-19,90.66,91.25,90.33,91.12
2010-01-20,91.13,91.45,90.79,91.26
2010-01-21,91.27,91.86,90.14,90.41
2010-01-22,90.41,90.55,89.79,89.81
2010-01-25,89.94,90.33,89.82,90.24
2010-01-26,90.26,90.55,89.34,89.62
2010-01-27,89.62,90.07,89.14,89.98
2010-01-28,89.98,90.53,89.62,89.88
2010-01-29,89.89,90.92,89.58,90.26
2010-02-01,90.2,90.93,90,90.7
2010-02-02,90.71,90.91,90.26,90.37
2010-02-03,90.38,91.26,90.07,90.96
2010-02-04,90.96,91.07,88.55,89.12
2010-02-05,89.12,89.87,88.82,89.23
2010-02-08,89.15,89.55,89.14,89.26
2010-02-09,89.27,89.93,89.2,89.81
2010-02-10,89.79,90.05,89.27,89.96
2010-02-11,89.95,90.13,89.57,89.71
2010-02-12,89.72,90.4,89.59,89.93
2010-02-15,90.01,90.23,89.9,90.04
2010-02-16,90.04,90.51,89.71,90.2
2010-02-17,90.2,91.38,90.15,91.16
2010-02-18,91.17,92.04,90.57,92.01
2010-02-19,92.01,92.14,91.49,91.5
2010-02-22,91.62,91.87,91.02,91.19
2010-02-23,91.2,91.28,89.92,90.2
2010-02-24,90.2,90.35,89.76,90.18
2010-02-25,90.17,90.31,88.8,89.15
2010-02-26,89.15,89.5,88.75,88.96
2010-03-01,88.93,89.47,88.81,89.17
2010-03-02,89.16,89.37,88.54,88.75
2010-03-03,88.76,88.98,88.32,88.5
2010-03-04,88.52,89.24,88.14,89.1
2010-03-05,89.11,90.58,89.1,90.27
2010-03-08,90.41,90.67,90.14,90.28
2010-03-09,90.29,90.31,89.62,89.89
2010-03-10,89.9,90.81,89.9,90.51
2010-03-11,90.5,90.7,90.21,90.61
2010-03-12,90.6,91.07,90.16,90.55
2010-03-15,90.6,90.8,90.35,90.41
2010-03-16,90.42,90.72,89.99,90.32
2010-03-17,90.33,90.7,90.04,90.38
2010-03-18,90.38,90.79,89.76,90.47
2010-03-19,90.47,90.7,90.33,90.54
2010-03-22,90.48,90.76,89.83,90.14
2010-03-23,90.15,90.45,90.12,90.39
2010-03-24,90.4,92.39,90.35,92.11
2010-03-25,92.12,92.95,91.76,92.71
2010-03-26,92.7,92.89,92.3,92.519
2010-03-29,92.44,92.78,92.35,92.54
2010-03-30,92.53,93.01,92.13,92.78
2010-03-31,92.78,93.62,92.75,93.45
2010-04-01,93.45,94.02,93.29,93.87
2010-04-02,93.86,94.68,93.6,94.6
2010-04-05,94.66,94.66,94.08,94.32
2010-04-06,94.32,94.37,93.65,93.75
2010-04-07,93.74,94.26,93.15,93.26
2010-04-08,93.25,93.47,92.82,93.39
2010-04-09,93.38,93.77,93.12,93.17
2010-04-12,93.09,93.59,92.97,93.2
2010-04-13,93.21,93.39,92.58,93.19
2010-04-14,93.19,93.7,92.83,93.27
2010-04-15,93.27,93.52,92.88,93.08
2010-04-16,93.07,93.13,91.9,92.16
2010-04-19,91.99,92.52,91.6,92.41
2010-04-20,92.41,93.38,92.406,93.22
2010-04-21,93.21,93.44,92.93,93.13
2010-04-22,93.13,93.6,92.74,93.45
2010-04-23,93.46,94.31,93.31,93.96
2010-04-26,94.08,94.35,93.89,94.01
2010-04-27,94,94.02,92.82,93.1
2010-04-28,93.12,94.3,93,94.15
2010-04-29,94.17,94.25,93.85,94.09
2010-04-30,94.1,94.58,93.82,93.84
2010-05-03,93.93,94.77,93.84,94.58
2010-05-04,94.57,94.97,94.32,94.67
2010-05-05,94.66,94.97,93.54,93.96
2010-05-06,93.93,93.97,88.15,90.86
2010-05-07,90.85,93.21,90,91.58
2010-05-10,92.69,93.53,91.76,93.34
2010-05-11,93.35,93.38,92.21,92.66
2010-05-12,92.63,93.28,92.45,93.24
2010-05-13,93.23,93.62,92.59,92.69
2010-05-14,92.7,93.07,91.81,92.5
2010-05-17,92.32,92.67,91.76,92.56
2010-05-18,92.57,92.95,91.91,92.05
2010-05-19,92.05,92.14,90.97,91.8
2010-05-20,91.79,91.87,88.97,89.27
2010-05-21,89.28,90.46,89.22,89.97
2010-05-24,90.18,90.6,89.75,90.26
2010-05-25,90.25,90.46,89.26,90.3
2010-05-26,90.29,90.65,89.82,89.98
2010-05-27,89.97,91.07,89.9,90.95
2010-05-28,90.96,91.39,90.61,91.05
2010-05-31,90.99,91.6,90.91,91.17
2010-06-01,91.17,91.44,90.54,90.98
2010-06-02,90.99,92.35,90.98,92.22
2010-06-03,92.22,92.79,92.04,92.57
2010-06-04,92.55,92.88,91.42,91.9
2010-06-07,91.82,92.07,90.97,91.46
2010-06-08,91.46,91.91,90.86,91.52
2010-06-09,91.51,91.66,91.05,91.31
2010-06-10,91.32,91.46,90.85,91.38
2010-06-11,91.36,91.76,91.2,91.64
2010-06-14,91.76,92.1,91.41,91.62
2010-06-15,91.63,91.69,91.08,91.51
2010-06-16,91.52,91.82,91.1,91.38
2010-06-17,91.39,91.43,90.51,90.9
2010-06-18,90.91,90.95,90.45,90.68
2010-06-21,90.43,91.46,90.3,91.02
2010-06-22,91.02,91.09,90.33,90.5
2010-06-23,90.5,90.58,89.72,89.92
2010-06-24,89.92,89.96,89.22,89.59
2010-06-25,89.6,89.76,89.2,89.22
